iter	Passed	Remaining
871	5468	802
872	5475	796
873	5481	790
874	5488	784
875	5494	777
876	5501	771
877	5507	765
878	5513	759
879	5520	752
880	5526	746
881	5532	740
882	5539	733
883	5545	727
884	5551	721
885	5557	715
886	5564	708
887	5570	702
888	5577	696
889	5584	690
890	5589	683
891	5596	677
892	5602	671
893	5608	664
894	5615	658
895	5621	652
896	5628	646
897	5634	640
898	5641	633
899	5647	627
900	5653	621
901	5660	614
902	5666	608
903	5672	602
904	5678	596
905	5684	589
906	5691	583
907	5697	577
908	5704	571
909	5710	564
910	5716	558
911	5722	552
912	5728	545
913	5735	539
914	5741	533
915	5748	527
916	5754	520
917	5761	514
918	5767	508
919	5773	502
920	5779	495
921	5785	489
922	5792	483
923	5798	476
924	5804	470
925	5811	464
926	5815	457
927	5821	451
928	5826	445
929	5832	439
930	5839	432
931	5844	426
932	5850	420
933	5856	413
934	5861	407
935	5868	401
936	5873	394
937	5879	388
938	5885	382
939	5891	376
940	5898	369
941	5903	363
942	5908	357
943	5913	350
944	5919	344
945	5925	338
946	5932	331
947	5937	325
948	5942	319
949	5948	313
950	5954	306
951	5959	300
952	5966	294
953	5972	287
954	5978	281
955	5985	275
956	5991	269
957	5997	262
958	6004	256
959	6010	250
960	6016	244
961	6022	237
962	6027	231
963	6034	225
964	6040	219
965	6046	212
966	6051	206
967	6057	200
968	6063	193
969	6069	187
970	6075	181
971	6082	175
972	6089	168
973	6095	162
974	6101	156
975	6107	150
976	6114	143
977	6120	137
978	6127	131
979	6133	125
980	6139	118
981	6145	112
982	6152	106
983	6158	100
984	6164	93
985	6171	87
986	6177	81
987	6183	75
988	6189	68
989	6196	62
990	6202	56
991	6207	50
992	6214	43
993	6220	37
994	6226	31
995	6232	25
996	6239	18
997	6245	12
998	6251	6
999	6257	0
