,Execution Time (s)
Naive Bayes,0.49463391304016113
Logistic Regression,12.276437044143677
Random Forest Classifier,11.549030065536499
AdaBoost Classifier,13.176538705825806
CatBoost Classifier,107.47595191001892
SVC,13.539231061935425
LGBM Classifier,17.975850343704224
XGBoost Classifier,7.773955821990967
