,RandomOverSampler,SMOTE,ADASYN,RandomUnderSampler,NearMiss,TomekLinks,EditedNearestNeighbours
Accuracy,0.9995786664794073,0.9995962220427653,0.9994908886626171,0.9994382219725431,0.999385555282469,0.9995962220427653,0.9995962220427653
Precision,0.9473684210526315,0.9482758620689655,0.859375,0.8909090909090909,0.9761904761904762,0.9482758620689655,0.9642857142857143
Recall,0.72,0.7333333333333333,0.7333333333333333,0.6533333333333333,0.5466666666666666,0.7333333333333333,0.72
F1,0.8181818181818182,0.8270676691729323,0.7913669064748201,0.7538461538461538,0.7008547008547008,0.8270676691729323,0.8244274809160306
ROC AUC,0.9589852397442885,0.9569537269792161,0.9678201815294649,0.9871676598637064,0.931367799321462,0.9754151212051964,0.9722889236556682
ECE,0.12710977661977144,0.11192986279573883,0.2410082008325671,0.1973214097392474,0.1542538035810414,0.13821030648546476,0.1633948740623127
Log Loss,0.002781604824722789,0.0028180524456301974,0.0028920845349755028,0.0026926904243235977,0.0040234779197796345,0.0025700999734503444,0.0026197571548151675
Brier Loss,0.00039655824625808107,0.00038949263533421624,0.00044426011860557776,0.00046255548899125614,0.0005843457723660918,0.00039134432913302586,0.00037754029362075005
