,RandomOverSampler,SMOTE,ADASYN,RandomUnderSampler,NearMiss,TomekLinks,EditedNearestNeighbours
Accuracy,0.9995435553526912,0.9992802219023208,0.9993504441557529,0.9897826621256276,0.10475404655735403,0.9995435553526912,0.9995786664794073
Precision,0.8888888888888888,0.717948717948718,0.7567567567567568,0.10204081632653061,0.0014099953000156666,0.9803921568627451,0.9811320754716981
Recall,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.8666666666666667,0.96,0.6666666666666666,0.6933333333333334
F1,0.8115942028985508,0.7320261437908496,0.7516778523489933,0.18258426966292135,0.002815854827040028,0.7936507936507936,0.8125
ROC AUC,0.9587814439151301,0.9554731309438009,0.9568946625180914,0.9866455722162649,0.9319225833670257,0.9760852215796227,0.9738742887947451
ECE,0.22577885757388294,0.3201125655055705,0.23063815861158682,0.45445583876272455,0.5080105394556851,0.4394669941514771,0.1741287812501443
Log Loss,0.0030662953589130544,0.0036580170749331525,0.003404269632971629,0.05032045156268384,1.9902980061312556,0.0034724356435769745,0.0032632189315032097
Brier Loss,0.0004700390491672685,0.0006037232388845029,0.0005486487419289615,0.01017366090907568,0.6606745066986979,0.00042390147888596866,0.00037605629304258016
