,RandomOverSampler,SMOTE,ADASYN,RandomUnderSampler,NearMiss,TomekLinks,EditedNearestNeighbours
Accuracy,0.9994908886626171,0.9994908886626171,0.9994733330992591,0.9992802219023208,0.9986833327481479,0.9992451107756047,0.9992275552122467
Precision,0.9107142857142857,0.9259259259259259,0.9090909090909091,0.84,0.0,0.7222222222222222,0.7246376811594203
Recall,0.68,0.6666666666666666,0.6666666666666666,0.56,0.0,0.6933333333333334,0.6666666666666666
F1,0.7786259541984732,0.7751937984496124,0.7692307692307693,0.672,0.0,0.7074829931972789,0.6944444444444444
ROC AUC,0.984382723645121,0.9775421449540317,0.9812770345890391,0.9825364904694102,0.8849951658551164,0.9750152641786934,0.975962756575902
ECE,0.11460481042058207,0.12215193727965537,0.09662204916621313,0.1839900035411554,0.00030448070749873666,0.14752147099526622,0.1353412956251548
Log Loss,0.002702696023442621,0.002831511586899871,0.0027996149704582426,0.003128434048248871,0.008540522241313107,0.003086285945176458,0.0030951048223566593
Brier Loss,0.00046729864303652897,0.000474123348756586,0.0004816768681002267,0.0005990666849384235,0.001307270539714337,0.0005727003541434565,0.0005770341704439033
