,Accuracy,Precision,Recall,F1,ROC AUC,ECE,Log Loss,Brier Loss
Naive Classifier,0.9986833327481479,0.0,0.0,0.0,0.5,0.001316667251852112,0.04745749805455916,0.001316667251852112
Logistic Regression,0.9991222218320986,0.7358490566037735,0.52,0.609375,0.9751200332823551,0.2560529507091661,0.003401843648946807,0.0006363557631401937
Random Forest Classifier,0.9995084442259752,0.9795918367346939,0.64,0.7741935483870968,0.9507384815511453,0.15529057747419867,0.006107680170886515,0.0004602542045574242
AdaBoost Classifier,0.9991046662687406,0.8529411764705882,0.38666666666666666,0.5321100917431193,0.9554593023596487,0.27502940026716455,0.48035558216091645,0.14814925361279244
CatBoost Classifier,0.9995786664794073,0.9473684210526315,0.72,0.8181818181818182,0.9774662049325856,0.2601895219170763,0.0033220074046845394,0.000416527269034783
SVC,0.9993328885923949,1.0,0.49333333333333335,0.6607142857142857,0.8868451491553431,0.5180056088662434,0.004860497186240679,0.0008903150792105282
LGBM Classifier,0.998735999438222,0.5254237288135594,0.41333333333333333,0.4626865671641791,0.6692683155495398,0.2376736342138292,0.044192315446566086,0.0012640628419175266
XGBoost Classifier,0.9993679997191109,0.8679245283018868,0.6133333333333333,0.71875,0.9013883664106035,0.3470395096181145,0.006973462385012848,0.0006008600978621126
